ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0721,small_airport,Pettijohn Acres Landing,1270.0,,US,US-OK,MARLOW,84OK,,84OK,"-98.077316, 34.664608",5
US-0722,small_airport,T & C Acres Airport,1566.0,,US,US-NY,RICHARD SPRINGS,12NY,,12NY,"-74.931344, 42.883902",5
US-0725,small_airport,Berg Field,783.0,,US,US-OH,FINDLAY,OH98,,OH98,"-83.687777, 41.033333",5
US-0728,small_airport,Turnbull Airport,890.0,,US,US-NY,BLOOMFIELD,48NY,,48NY,"-77.396962, 42.895647",5
US-0729,small_airport,Boardman Airfield,1729.0,,US,US-NE,HENDERSON,NE83,,NE83,"-97.854027, 40.753086",5
US-0730,small_airport,Hogg Field,332.0,,US,US-TX,KENNARD,TS99,,TS99,"-95.159883, 31.350488",5
US-0731,small_airport,Pom Wonderful Airstrip,341.0,,US,US-CA,DEL REY,0CA0,,0CA0,"-119.587113, 36.652744",5
US-0733,small_airport,Southfork River Ranch Airport,1490.0,,US,US-ID,STITES,ID11,,ID11,"-115.962222, 46.018888",5
US-0735,small_airport,WWD Farms Airport,2895.0,,US,US-TX,POST,,,,"-101.466267, 33.136988",5
US-0736,small_airport,Taylor Field,239.0,,US,US-TX,BIVINS,TE72,,TE72,"-94.162219, 32.898052",5
US-0737,small_airport,Tri-Rotor Ag Services Airport,126.0,,US,US-AZ,SOMERTON,AZ25,,AZ25,"-114.678947, 32.55705",5
US-0740,small_airport,Big Chino Airstrip,4410.0,,US,US-AZ,PAULDEN,AZ09,,AZ09,"-112.6759, 35.029614",5
US-0741,small_airport,Flanders Field,460.0,,US,US-TX,LOTT,TS81,,TS81,"-97.07525, 31.157444",5
US-0743,small_airport,23R Airport,,,US,US-CA,LOS ANGELES,,,8559374,"8.4375, 11.523088",5
US-0753,small_airport,Mattingly Field,861.0,,US,US-IN,MARTINSVILLE,IN58,,IN58,"-86.262923, 39.501336",5
US-0755,small_airport,Flyers Park Airport,865.0,,US,US-OH,NEWARK,OH20,,OH20,"-82.306906, 40.154066",5
US-0757,small_airport,La Rue Airport,1010.0,,US,US-OH,OLD WASHINGTON,OH94,,OH94,"-81.482376, 40.021791",5
US-0759,small_airport,Oneida Lake Strip Airport,380.0,,US,US-NY,ONEIDA,8NY7,,8NY7,"-75.705722, 43.169055",5
US-0762,small_airport,M Sansom Ranch Airport,1810.0,,US,US-TX,PAINT ROCK,06TS,,06TS,"-99.836575, 31.421591",5
US-0767,small_airport,Klenawicus Airfield,20.0,,US,US-NY,SHELTER ISLAND,NY03,,NY03,"-72.327018, 41.071008",5
